Column1,Column2,Column3,Column4,Column5
David Burlinson:Mihai Mehedint:Chris Grafer:Kalpathi Subramanian:Jamie Payton:Paula Goolkasian:Michael Youngblood:Robert Kosara,"Although undergraduate enrollment in Computer Science has remained strong and seen substantial increases in the past decade, retention of majors remains a significant concern, particularly for students at the freshman and sophomore level that are tackling foundational courses on algorithms and data structures. In this work, we present BRIDGES, a software infrastructure designed to enable the creation of more engaging assignments in introductory data structures courses by providing students with a simplified API that allows them to populate their own data structure implementations with live, real-world, and interesting data sets, such as those from popular social networks (e.g., Twitter, Facebook). BRIDGES also provides the ability for students to create and explore {\em visualizations} of the execution of the data structures that they construct in their course assignments, which can promote better understanding of the data structure and its underlying algorithms; these visualizations can be easily shared via a weblink with peers, family, and instructional staff. In this paper, we present the BRIDGES system, its design, architecture and its use in our data structures course over two semesters.",BRIDGES: A System to Enable Creation of Engaging Data Structures Assignments with Real-World Data and Visualizations,NA:NA:NA:NA:NA:NA:NA:NA,2016
Monisha Pulimood,NA,Session details: Paper Session: Computational Thinking,NA,2016
Adam Eck:Leen-Kiat Soh:Duane F. Shell,"Introductory computer science courses are being increasingly taught using technology-mediated instruction and e-learning environments. The software and technology in such courses could benefit from the use of student models to inform and guide customized support tailored to the needs of individual students. In this paper, we investigate how student motivated engagement profiles developed in educational research can be used as such models to predict student behaviors. These models are advantageous over those learned directly from observing individual students, as they rely on different data that can be available a priori before students use the technology. Using tracked behaviors of 249 students from 7 CS1 courses over the span of 3 semesters, we discover that students with different engagement profiles indeed behave differently in an online, wiki-based CSCL system while performing collaborative creative thinking exercises, and the differences between students are primarily as expected based on the differences in the profiles. Thus, such profiles could be useful as student models for providing customized support in e-learning environments in CS1 courses.",Investigating Differences in Wiki-based Collaborative Activities between Student Engagement Profiles in CS1,NA:NA:NA,2016
Dave Mason:Irfan Khan:Vadim Farafontov,"Computers and computational thinking are becoming ubiquitous in our world. They are part of the transportation systems we use, the security systems we confront, our entertainment systems, our communication systems, our financial systems, and even our social and political instruments. Computational thinking is a fundamental part of decision-making on a large and increasing number of fronts. It is sometimes hard for a computer scientist to imagine how people without access to those tools can navigate the world in an informed way. We have designed a course to bring the social, historical, cultural and technical context of these systems to the attention of students and citizens who would not otherwise have access to them, so they can better understand the world in which they will live and work. The course is a Computer Science course because it is talking about the science of computers, albeit in an approachable form for an audience without any assumed previous programming experience. The course ran in Winter 2014 and Winter 2015 meeting most of its goals, including engaging the non-traditional student who took it.",Computational Thinking as a Liberal Study,NA:NA:NA,2016
Sarah Monisha Pulimood:Kim Pearson:Diane C. Bates,"This paper reports on a multi-semester study of the impact on student perceptions of their computational thinking abilities as a result of collaboration between students in computer science (CS) and journalism courses to solve a problem for a community partner, Habitat for Humanity. Interdisciplinary computing collaborations have become a popular mode of instruction in upper-level CS courses. In many cases, these collaborations have been with other STEM disciplines. However, there are non-STEM fields that have been transformed by computer science and can also serve as fruitful test beds for curricular innovation; journalism is one such field. In this study, undergraduate students in CS and journalism courses focused on creating a computational solution to address a real community need. The study investigates whether immersion in multidisciplinary collaborative experiences increases the computational thinking abilities of both CS and non-CS students. 41 CS students participated in the study alongside 96 students in a range of other STEM and non-STEM majors. Quantitative data were collected to gauge students' attainment of concepts and skills constitutive to computational thinking. Pre-test data indicate that CS students were no different from other STEM students in their own assessment of computational thinking and skills. Post-test data indicate that while all students made significant gains in self-assessment of skills and knowledge, CS majors fared significantly better than their peers. It is particularly noteworthy that CS majors' gains outpaced those of computer engineering majors. Further research is planned to gain additional insight into the possible reasons behind these results.",A Study on the Impact of Multidisciplinary Collaboration on Computational Thinking,NA:NA:NA,2016
Bo Brinkman,NA,Session details: Paper Session: Research on Learning,NA,2016
Cindy Norris,"This paper investigates the impact of layers of quizzing on student performance on subsequent tests and the final exam. The first layer of quizzes are on-line ""pre-quizzes"" designed to prepare students for follow-on classroom discussions. The second layer quizzes are short ""post-quizzes"" that are given during class time after discussing questions about the material covered by pre-quizzes. A study involving fifteen semesters of data and 348 students indicated that students performed better on tests and the final exam with this quizzing strategy compared to a more traditional homework based approach. These results agree with the body of research that indicates that testing enhances learning. Significantly, we found an 8 point pass rate increase on the Computer Systems I final exam and a 10 point pass rate increase on the Systems II final.",An Examination of Layers of Quizzing in Two Computer Systems Courses,NA,2016
Briana B. Morrison:Lauren E. Margulieux:Barbara Ericson:Mark Guzdial,"We report on a study that used subgoal labels to teach students how to write while loops with a Parsons problem learning assessment. Subgoal labels were used to aid learning of programming while not overloading students' cognitive abilities. We wanted to compare giving learners subgoal labels versus asking learners to generate subgoal labels. As an assessment for learning we asked students to solve a Parsons problem -- to place code segments in the correct order. We found that students who were given subgoal labels performed statistically better than the groups that did not receive subgoal labels or were asked to generate subgoal labels. We conclude that a low cognitive load assessment, Parsons problems, can be more sensitive to student learning gains than traditional code generation problems.",Subgoals Help Students Solve Parsons Problems,NA:NA:NA:NA,2016
Mehran Sahami:Chris Piech,"In recent years, enrollments in undergraduate computer science programs have seen tremendous growth nationally. Often accompanying such growth is a concern from faculty that the additional students choosing to pursue computing may not have the same aptitude for the subject as was seen in prior student populations. Thus such students may exhibit weaker performance in computing courses. To help address this question, we present a statistical analysis using mixture modeling of students' performance in an introductory programming class at Stanford University over an eight year period, during which enrollments in the course more than doubled. Importantly, in this setting many variables that would normally confound such a study are directly controlled for. We find that the distribution of student performance during this period, as reflected in their programming assignment scores, remains remarkably stable despite the large growth in enrollment. We then explain how the notion of having ""more weak students"" and the fact that the distribution of student ability is unchanged can readily co-exist and lead to misperceptions about the quality of incoming students during an enrollment boom.","As CS Enrollments Grow, Are We Attracting Weaker Students?",NA:NA,2016
Andy Grover,NA,Session details: Paper Session: Professional Development,NA,2016
Chrystalla Mouza:Lori Pollock:Kathleen Pusecker:Kevin Guidry:Ching-Yi Yeh:James Atlas:Terry Harvey,"One of the greatest challenges in broadening participation in computer science is teacher preparation, as few middle and high school teachers have a formal background in computing. Further, without a credentialing program, there are limited ways to learn content and pedagogical strategies for effective computer science instruction. As a result, professional development is key to successful reform in the teaching of computer science. In this paper, we describe our three-pronged approach to the design of a professional development model for middle and high school teachers interested in implementing the Computer Science Principles (CSP) curriculum in their classrooms or infusing CSP modules into STEM curricula. We describe our model focusing on content, pedagogical strategies and follow-up classroom support during the academic year. We subsequently report on participating teacher outcomes, in terms of self-rated understandings, attitudes and implementation practices. We share lessons learned and offer recommendations for professional development designers.",Implementation and Outcomes of a Three-Pronged Approach to Professional Development for CS Principles,NA:NA:NA:NA:NA:NA:NA,2016
Helen H. Hu:Cecily Heiner:Jay McCarthy,"Exploring Computer Science (ECS) is a high school introductory computer science class designed to increase student interest in CS. Utah is the first state to offer ECS statewide and use it to meet a high school graduation requirement. Over the past four years, 150 teachers have been trained as Utah ECS teachers and over 10,000 Utah students have taken the class. The Utah initiative is unique because it is the first to deploy ECS in a non-urban environment and with a modified half-year curriculum that includes no additional equipment costs. This paper discusses how the Utah deployment was organized, reports its results and unique difficulties, and offers lessons for deployments with similar characteristics: statewide, rural, and limited resources.",Deploying Exploring Computer Science Statewide,NA:NA:NA,2016
Nathaniel Granor:Leigh Ann DeLyser:Kevin Wang,"Rising demand for high school computer science courses in the United States has created pressure to increase the number of computer science(CS) teachers in a short amount of time[3]. In this experience report, we present the TEALS program as a unique, high-touch, professional development model, pairing computing industry professionals with classroom teachers. By combining the relative strengths of the team (content and pedagogy) TEALS has been able to successfully train new CS teachers. We present the history of the TEALS program, the volunteer and teacher recruitment process, the volunteer training program, data from a study of the pedagogical content knowledge of the TEALS volunteers, and program growth and efficacy data. Additionally, we offer achievement of students on the AP CS A exam as an externally valid measurement of learning outcomes in TEALS classrooms.",TEALS: Teacher Professional Development Using Industry Volunteers,NA:NA:NA,2016
Christine A. Shannon:James Kiper:Samuel A. Rebelsky:Janet Davis,NA,Engaging CS Alumni from Afar,NA:NA:NA:NA,2016
Daniel D. Garcia:Josh Caldwell:Pamela Fox:Jeremy Keeshin,"In his keynote at SIGCSE 2007, Grady Booch exhorted us to share the ""passion, beauty, joy and awe"" (PBJA) of computing. This led to a series of room-packed sessions at the following seven SIGCSE symposia to explore that idea from different angles. They have provided a forum for sharing: What we've done / seen: Highlighting successful PBJA initiatives they have done or have seen and wish to trumpet. What we should do (curriculum): Pointing out, as Grady Booch did, where our curriculum is lacking in PBJA, and how to fix it. How we should do it (pedagogy): Sharing how a change in attitude / focus / behavior / etc. can make strides to improving PBJA. While the initial PBJA sessions evolved from a need to understand and combat the enrollment crisis of nine years ago, we are now seeing an explosion of interest in our field. There are colleges where the numbers have vast exceeded historic highs, with computer science enrollments up 22% in 2014. This PBJA ""movement"" was born out of this enrollment crisis, but is not tied to it. There is always value in sharing novel best practices and advocating techniques to make computing fun for beginners. This year we have gathered three educators who represent online, self-paced curriculum, platforms and community that together have reached millions of people. How does the online experience support or prevent PBJA in ways traditional classrooms don't? What innovative ideas did they employ to support collaboration, and how do they manage the ""bad elements"" of their user base? What is the right balance between easy-to-autograde, follow-me curriculum and wide-open, ""be creative"" experiences for the first-time user? Which works best, blocks-based or text-based programming? How can the ""big data"" from the mistakes of others be leveraged to give each user a personalized experience? The hope with this panel is to explore best practices of self-paced online offerings in these crucial early years, for participants of any age, in terms of extolling the PBJA of computing.","Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, part 8",NA:NA:NA:NA,2016
Joel C. Adams:Jacob Caswell:Suzanne J. Matthews:Charles Peck:Elizabeth Shoop:David Toth:James Wolfer,"Just as a micro-computer is a personal, portable computer, a micro-cluster is a personal, portable, Beowulf cluster. In this special session, six cluster designers will bring and demonstrate micro-clusters they have built using inexpensive single-board computers (SBCs). The educators will describe how they have used their clusters to provide their students with hands-on experience using the shared-memory, distributed-memory, and heterogeneous computing paradigms, and thus achieve the parallel and distributed computing (PDC) objectives of CS 2013 [1].",The Micro-Cluster Showcase: 7 Inexpensive Beowulf Clusters for Teaching PDC,NA:NA:NA:NA:NA:NA:NA,2016
Amber Settle,NA,Session details: Paper Session: Pair Programming,NA,2016
Mohammed Seyam:D. Scott McCrickard,"Pair Programming has demonstrated benefits for education, but unique concerns of mobile software design raise questions about the effectiveness of Pair Programming in this evolving field. This paper probes unique challenges for Pair Programming when used in mobile software design classes, focusing on five mobile design topics: dealing with interface and data management, using camera, handling multi-device connectivity, using sensors and collecting GPS data, and using microphones and speakers. The paper highlights successes and challenges for Pair Programming and mobile applications, concluding with recommendations on building assignments, managing student interaction, and implementing Pair Programming for instructors considering using it in their mobile development classes.",Teaching Mobile Development with Pair Programming,NA:NA,2016
Omar Ruvalcaba:Linda Werner:Jill Denner,Sixty-nine pairs of Latino and white middle school students were video recorded as they pair programmed for approximately 20 minutes. We quantitatively analyzed the partners' interactions specifically looking at characteristics of their collaboration. A qualitative analysis of interactions of three girl pairs was conducted to gain insight into how students' experience in diverse cultural communities may relate to their collaboration during pair programming.,Observations of Pair Programming: Variations in Collaboration Across Demographic Groups,NA:NA:NA,2016
Ian McChesney,"In the software engineering industry the technique of pair programming can be used as a means of enhancing programmer productivity and the quality of the software development process. Pair programming has also been used in computer science education as a mechanism to address some of the educational challenges faced by students learning to program. An action research study is described in which pair programming is used as part of the learning and assessment regime in introductory programming. Module data has been used over a three year cycle to evaluate the impact of pair programming on student performance and confidence in programming, and to gain insights into its practical application. Within-subject analysis confirms previously reported observations of overall improved student performance. Qualitative analysis identifies areas for refinement in the practical application of pair programming for learning and assessment, particularly in relation to pairwise communication, establishing protocols for conflict resolution and development of professional competencies.",Three Years of Student Pair Programming: Action Research Insights and Outcomes,NA,2016
Meghan Allen,NA,Session details: Paper Session: Engagement and Diversity,NA,2016
Sarnath Ramnath:John H. Hoover,"A framework for developing computing courses is presented, that has the potential to increase student engagement by enhancing student perception of relevance. The framework employs established andragogical approaches, course design methodologies, and measurement tools. A preliminary report on the application of this framework is presented. The results are encouraging, and the framework can be easily adapted to a variety of environments.",Enhancing Engagement by Blending Rigor and Relevance,NA:NA,2016
Burçin Tamer:Jane G. Stout,"College and university professors serve as role models and leaders. Unfortunately, in computing fields, only a small fraction of the professorate is women and/or members of minority racial groups. To address this issue, the current research assessed the role of research experiences for undergraduate students (REUs) on underrepresented students' interest in pursuing a career as a computing professor. We found that REUs utilizing a set of specific practices are linked with underrepresented students' interest in becoming a computing professor. On the other hand, no specific REU practice was associated with majority students' (i.e., White and Asian men's) level of interest in becoming a professor. Thus, this research not only identifies aspects of REUs that may be especially important for increasing diversity in the professorate but also highlights that REUs may serve different purposes for underrepresented versus majority students.",Understanding How Research Experiences for Undergraduate Students May Foster Diversity in the Professorate,NA:NA,2016
Bo Brinkman:Amanda Diekman,"The lack of diversity in the tech industry is a widely remarked phenomenon. The majority of workers in tech roles are either white or Asian men, with all other groups being under-represented. Some authors point to cultural factors influencing self-efficacy, leading to a lack of diversity at the start of the ""pipeline"" of IT talent. Others point to toxic workplace culture that can lead skilled tech workers to drop out of the industry. While these effects are very real and important, this paper focuses on a third concept contributing to lack of diversity, communal goal congruity. We present a growing body of evidence suggesting that working with others, and in the service of others, are important career goals that many believe tech careers lack. We describe prior work that shows that these beliefs also have a significant impact on the pipeline of tech talent. We then report on the first pieces of data out of the first long-term intervention designed with this communal goal congruity perspective in mind. We have created a cohort-based service-learning program in computer science, computer engineering, electrical engineering, and software engineering. The result is a program with 26.3% women and 31.6% African American and/or Hispanic students, including 15.8% African American and/or Hispanic women, at an institution that has never previously seen this level of diversity in its computing majors.",Applying the Communal Goal Congruity Perspective to Enhance Diversity and Inclusion in Undergraduate Computing Degrees,NA:NA,2016
Leigh Ann Sudol-DeLyser,NA,Session details: Paper Session: CS Ed Research 1,NA,2016
Brett A. Becker,"One of the many challenges novice programmers face from the time they write their first program is inadequate compiler error messages. These messages report details on errors the programmer has made and are the only feedback the programmer gets from the compiler. For students they play a particularly essential role as students often have little experience to draw upon, leaving compiler error messages as their primary guidance on error correction. However these messages are frequently inadequate, presenting a barrier to progress and are often a source of discouragement. We have designed and implemented an editor that provides enhanced compiler error messages and conducted a controlled empirical study with CS1 students learning Java. We find a reduced frequency of overall errors and errors per student. We also identify eight frequent compiler error messages for which enhancement has a statistically significant effect. Finally we find a reduced number of repeated errors. These findings indicate fewer students struggling with compiler error messages.",An Effective Approach to Enhancing Compiler Error Messages,NA,2016
Juho Leinonen:Krista Longi:Arto Klami:Arto Vihavainen,"Studies on retention and success in introductory programming course have suggested that previous programming experience contributes to students' course outcomes. If such background information could be automatically distilled from students' working process, additional guidance and support mechanisms could be provided even to those, who do not wish to disclose such information. In this study, we explore methods for automatically distinguishing novice programmers from more experienced programmers using fine-grained source code snapshot data. We approach the issue by partially replicating a previous study that used students' keystroke latencies as a proxy to introductory programming course outcomes, and follow this by an exploration of machine learning methods to separate those students with little to no previous programming experience from those with more experience. Our results confirm that students' keystroke latencies can be used as a metric for measuring course outcomes. At the same time, our results show that students programming experience can be identified to some extent from keystroke latency data, which means that such data has potential as a source of information for customizing the students' learning experience.",Automatic Inference of Programming Performance and Experience from Typing Patterns,NA:NA:NA:NA,2016
Ahmed Al-Zubidy:Jeffrey C. Carver:Sarah Heckman:Mark Sherriff,"The computer science education (CSEd) research community consists of a large group of passionate CS educators who often contribute to other disciplines of CS research. There has been a trend in other disciplines toward more rigorous and empirical evaluation of various hypotheses. Prior investigations of the then-current state of CSEd research showed a distinct lack of rigor in the top research publication venues, with most papers falling in the general category of experience reports. In this paper, we present our examination of the two most recent proceedings of the SIGCSE Technical Symposium, providing a snapshot of the current state of empiricism at the largest CSEd venue. Our goal to categorize the current state of empiricism in the SIGCSE Technical Symposium and identify where the community might benefit from increased empiricism when conducting CSEd research. We found an increase in empirical validation of CSEd research to over 70%; however, our findings suggest that current CSEd research minimizes replication precluding meta-analysis and theory building.",A (Updated) Review of Empiricism at the SIGCSE Technical Symposium,NA:NA:NA:NA,2016
David Naugler,NA,Session details: Paper Session: CS0,NA,2016
Cindy Marling:David Juedes,"This paper describes the design and initial implementation of a new CS0 course for CS majors at Ohio University and an associated computer science placement exam. It was our expectation that this course would help improve overall retention and academic performance of CS majors. The new CS0 course was intended for new students with little or no programming experience. Hence, we designed CS0 by selecting some of the best components of other CS0 efforts from the literature, namely, introductory programming in Python, computational thinking, and motivational material aimed at instilling ownership of the major. In order to direct students into CS0 or CS1 appropriately, a placement exam was given to students during orientation. The placement process resulted in a mixed cohort consisting of students with no programming experience as well as other students with programming experience who did not pass the placement exam. Longitudinal analysis of student grades in CS0 and CS1 showed that these were two distinct populations with very different needs. A statistically significant difference was found in the CS1 grades for CS0 students from these populations. Surprisingly, CS0 students without prior programming experience got significantly higher grades in CS1 than CS0 students who had programmed before. We share lessons learned from our experience, including a revised placement process to address these separate populations.",CS0 for Computer Science Majors at Ohio University,NA:NA,2016
Sagar Raina:Siddharth Kaza:Blair Taylor,"Student skipping content is common in traditional learning modules that present a large amount of content in a linear format. This can lead to lower student engagement, and may yield poor learning. In this paper, we compare student learning between enhanced learning modules (2.0) and traditional modules (1.0) aimed at providing knowledge on secure coding to students in lower-level programming courses. We discuss the results of a quasi-experiment across two sections of CS0. The study compares students' secure coding awareness, general software security awareness and students' ability to identify security vulnerabilities (integer overflow, input validation and buffer overflow) in three separate code segments. A total of 53 students participated in the study. While results indicate significant improvement in secure coding and general software security awareness in both 1.0 and 2.0 modules, students using 2.0 modules performed significantly better than students using 1.0 modules in applying secure coding knowledge by identifying security vulnerabilities in code segments.",Security Injections 2.0: Increasing Ability to Apply Secure Coding Knowledge using Segmented and Interactive Modules in CS0,NA:NA:NA,2016
Deborah A. Fields:Lisa Quirke:Janell Amely:Jason Maughan,"In this paper we explore how to assess novice youths' learning of programming in an open-ended, project-based learning environment. Our goal is to combine analysis of frequent, automated snapshots of programming (e.g., ""big"" data) within the ""thick"" social context of kids? learning for deeper insights into their programming trajectories. This paper focuses on the first stage of this endeavor: the development of exploratory quantitative measures of youths? learning of computer science concepts. Analyses focus on kids? learning in a series of three Scratch Camps where 64 campers aged 10-13 used Scratch 2.0 to make a series of creative projects over 30 hours in five days. In the discussion we consider the highlights of the insights-and blind spots-of each data source with regard to youths' learning.",Combining Big Data and Thick Data Analyses for Understanding Youth Learning Trajectories in a Summer Coding Camp,NA:NA:NA:NA,2016
Rania Hodhod:Shamim Khan:Yesem Kurt-Peker:Lydia Ray,"Computational thinking (CT), which encompasses strategies for problem analysis and solution design, is highly applicable in all STEM disciplines, including computer science, for learning concepts as well as solving problems. Yet, the exposure of K-12 students to CT in many schools is practically non-existent. For students to acquire this important skill, teachers require in-depth knowledge of the problem solving strategies that define CT, and strategies for integrating CT into their lesson plans. The proposed special session will be both a tutorial on CT and an interactive session for sharing the experience and results from a CT workshop held at Columbus State University for middle and high school STEM subject teachers. This workshop, offered as a part of the ACT4STEM (Applying Computational Thinking for STEM Disciplines) project, took place in the summer of 2015. It brought together teachers from the metropolitan Columbus area in Georgia with priority given to teachers from high-need schools (as determined by the GA Department of Education [1]). The workshop introduced the participants to CT concepts and demonstrated how CT strategies of pattern recognition, generalization, problem decomposition and algorithmic thinking can be used to improve student learning of STEM concepts. The proposed special session will present sample CT modules developed for the ACT4STEM workshop in the form of a tutorial and projects and lesson plans designed by participants during the workshop. It will include interactive, hands-on activities and discussions in addition to results from the teachers' actual experiences on applying these lesson plans in their classes. This special session will benefit K12 teachers of STEM subjects interested in improving their students' comprehension of discipline related concepts and their application. Moreover, computer science faculty interested in helping K-12 teachers by organizing training sessions will gain valuable insights from the first-hand accounts of the presenters of their own experience with such an effort.",Training Teachers to Integrate Computational Thinking into K-12 Teaching,NA:NA:NA:NA,2016
Daniel D. Garcia:David Ginat,"One man's ""magic"" is another man's engineering. -- Robert A. Heinlein Some beginning students have fuzzy mental models of how the computer works, or worse, sincerely believe that the computer works unpredictably, ""by magic"". We seek to demystify computing for these students using analogy, by showing them something that even magic itself isn't really mystical, it is just computation. This is a continuation of our standing-room only SIGCSE 2012 and SIGCSE 2013 special sessions. Magic is one of the most colorful examples of ""unplugged"" (i.e., without-computer, active learning) activities. It adds a unique facet in that it holds a hidden secret that the audience can be challenged to unfold. Once solved, students are often enthusiastic to perform the magic in front of others. In this session, we will share a variety of new magic tricks whose answer is grounded in computer science: modulo arithmetic, human-computer interfaces, algorithms, binary encoding, invariants, etc. For each trick, we will have an interactive discussion of its underlying computing fundamentals, and tips for successful showmanship. Audience participation will be critical, for helping us perform the magic, discussing the solution, and contributing other magic tricks.","Demystifying Computing with Magic, part III",NA:NA,2016
Gregory Kulczycki:Murali Sitaraman:Nigamanth Sridhar:Bruce W. Weide,"A central goal of computer science education is to teach students how to reason about the correctness of the code they write. Typically, students use a trial and error process and check that their logic ""works"" by running it on test inputs. Typically, instructors encour-age them towards logical reasoning through manual tracing of the code. Rarely reasoning tools are used in the process, at least partly because few instructors are familiar with them and fewer have the time to investigate and experiment. The purpose of this panel is to introduce the attendees to a variety of reasoning tools the presenters have used in their classrooms. In some cases, the tools have been used in only one or two classes of a course to illustrate specific points. In other cases, entire projects have been done using the tools. The courses range from the introductory sequence and dis-crete structures to software engineering and graduate-level courses. The tools are freely available on the web and attendees will be encouraged to experiment with the reasoning tools on their own laptops to solve simple reasoning problems.",Panel: Engage in Reasoning with Tools,NA:NA:NA:NA,2016
Martha Kosa,NA,Session details: Demonstration Session,NA,2016
